link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link,match_score,potential_jade_link_text,potential_jade_link,link_text_match
3107,481,Section 347,tober 2000) 11.3.1 Legislation [Last reviewed: March 2025] Criminal Code Section 347 - Rape 11.3.2 Commentary [Last reviewed: March 2025] The definition,https://www.legislation.qld.gov.au/view/html/inforce/2000-09-28/act-1899-009,qld,,0.323144,Amendment Act,https://jade.io/article/345364,No Match
2428,327,Section 348,2026] Criminal Code Section 347 – Definitions for ch 32 Section 348 – Meaning of consent Section 348A – Mistake of fact,https://www.legislation.qld.gov.au/view/html/2024-09-22/act-1899-009,qld,,0.331754,and,https://jade.io/article/1067156,No Match
4174,776,Section 229G–Procuring,229G (repealed) 16.2.1 Legislation [Last reviewed: March 2025] Criminal Code Section 229G–Procuring engagement in prostitution 16.2.2 Commentary [Last reviewed: March 2025] The,https://www.legislation.qld.gov.au/view/html/inforce/2023-12-01/act-1899-009,qld,,0.344371,Criminal Code (Decriminalising Sex Work) and Other Legislation,https://jade.io/article/1115819,No Match
3795,678,Section 359B–,"October 2025] Criminal Code Section 359A– Definitions for unlawful stalking Section 359B– What is unlawful stalking, intimidation, harassment or abuse Section 359C–",https://www.legislation.qld.gov.au/view/html/2023-03-22/act-1899-009,qld,,0.344595,Domestic and Family Violence,https://jade.io/article/966844,No Match
699,98,Section 30–Where,"to interpret between a prisoner, defendant or witness and others Section 30–Where witness and prisoner are of different languages—first interpreter’s oaths 2.22.2",https://www.legislation.qld.gov.au/view/html/inforce/current/act-1867-012,qld,,0.352941,Evidence Act 1977,https://jade.io/article/353262,No Match
486,74,Section 102,impairment of the mind Section 99–Withholding statement from jury room Section 102 –Weight to be attached to evidence 2.12.2 Commentary [Last reviewed:,https://www.legislation.qld.gov.au/view/whole/html/inforce/current/act-1977-047,qld,,0.35443,Evidence Act 1977).,https://jade.io/article/353262,No Match
3696,641,Section 20–,child under 16(current) Section 349–Rape(current) Acts Interpretation Act 1954 (Qld) Section 20– Saving of operation of repealed Act etc(current) 11.33.1 Commentary [Last,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1954-003,qld,,0.431373,Acts Interpretation,https://jade.io/article/529695,No Match
3122,483,Section 14–Amendment,- Consent Section 348AA–Circumstances in which there is no consent Section 14–Amendment of s 348A(Mistake of fact in relation to consent) Section,https://www.legislation.qld.gov.au/view/html/asmade/act-2024-005,qld,,0.458498,Evidence Act 1977,https://jade.io/article/353262,No Match
685,98,Section 158–Children,provided Youth Justice Act 1992 (Qld) Section 72–Explanation of proceeding Section 158–Children entitled to explanation of sentence Domestic and Family Violence Protection,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1992-044,qld,,0.854167,72–Explanation,https://jade.io/article/345852/section/146,No Match
691,98,Section 5–Principles,aggrieved understand domestic violence order Mental Health Act 2016 (Qld) Section 5–Principles for persons with mental illness Oaths Act 1867 (Qld) Section,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2016-005,qld,,0.965251,5–Principles,https://jade.io/article/449767/section/165,Match
4810,894,Section 8–Meaning,and domestic violence Domestic and Family Violence Protection Act 2012 Section 8–Meaning of domestic violence 17.25.2 Commentary [Last reviewed: August 2024] This,https://www.legislation.qld.gov.au/view/html/inforce/current/act-2012-005,qld,,0.989247,8–Meaning,https://jade.io/article/286296/section/75,Match
