page_no,link_text,link_destination, link_domain
3,"[2003]NSWCCA 174,",https://www.caselaw.nsw.gov.au/decision/549fa8ff3004262463b593e5, www.caselaw.nsw.gov.au
3,"(2000)112 A Crim R 417,",https://anzlaw.thomsonreuters.com/Document/I75a4a99088d411e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau, anzlaw.thomsonreuters.com
3,"(2000)199 CLR 620,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2000496633&pubNum=3586&originatingDoc=Idb17678087b311e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=4481d45a3e6744b0b3b7d73a45be270a&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
3,[2000]HCA 3,https://www.hcourt.gov.au/sites/default/files/eresources/2000/HCA/3.pdf, www.hcourt.gov.au
5,"‘Your Primary Responsibilities as a Juror’,",https://archive.sclqld.org.au/sclpub/supreme-and-district-courts-benchbook/your-responsibilities-as-a-juror.pdf, archive.sclqld.org.au
9,[2013]QCA 52,http://archive.sclqld.org.au/qjudgment/2013/QCA13-052.pdf, archive.sclqld.org.au
13,[2014]QSC 277).,https://archive.sclqld.org.au/qjudgment/2014/QSC14-277.pdf, archive.sclqld.org.au
15,MediaSDC@justice.qld.gov.au.,mailto:MediaSDC@justice.qld.gov.au, 
16,https://www.courts.qld.gov.au/newsroom/contact-us/media.,https://www.courts.qld.gov.au/newsroom/contact-us/media, www.courts.qld.gov.au
16,2014/08 –Electronic Devices in Courtrooms,https://www.courts.qld.gov.au/__data/assets/pdf_file/0004/225553/sc-pd-8of2014.pdf, www.courts.qld.gov.au
16,2014/10 –Electronic Devices in Courtrooms,https://www.courts.qld.gov.au/__data/assets/pdf_file/0005/295988/dc-pd-10of2014.pdf, www.courts.qld.gov.au
16,"2014/17 – Queen Elizabeth II Courts of Law Supreme Court, Brisbane",https://www.courts.qld.gov.au/__data/assets/pdf_file/0020/262271/sc-pd-17of2014.pdf, www.courts.qld.gov.au
16,Accessways to Remain Clear,https://www.courts.qld.gov.au/__data/assets/pdf_file/0020/262271/sc-pd-17of2014.pdf, www.courts.qld.gov.au
16,@SupremeCourtQLD,https://twitter.com/SupremeCourtQLD, twitter.com
16,@DistCourtQLD,https://twitter.com/DistCourtQLD, twitter.com
17,@MagsCourtQLD,https://twitter.com/MagsCourtQLD, twitter.com
17,h,https://www.courts.qld.gov.au/newsroom/social-media, www.courts.qld.gov.au
17,ttps://www.courts.qld.gov.au/newsroom/social-media.,https://www.courts.qld.gov.au/newsroom/social-media, www.courts.qld.gov.au
17,(2014)244 A Crim R 443;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2034293555&pubNum=5341&originatingDoc=Ied1a4f7088b611e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=aa73844045584bd7a2b47a665cf7dfa6&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
17,[2014]QCA 223.,https://archive.sclqld.org.au/qjudgment/2014/QCA14-223.pdf, archive.sclqld.org.au
17,(1985)157 CLR 671;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1985188578&pubNum=3586&originatingDoc=Icdf1c6f087a811e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=f109a25603e342d890ecb213cee2c101&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
17,(2001)122 A Crim R 537;,https://anzlaw.thomsonreuters.com/Document/I2c813da088ac11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
17,[2001]QCA 263.,https://archive.sclqld.org.au/qjudgment/2001/QCA01-263.pdf, archive.sclqld.org.au
18,"[2016]QCA 336,",https://archive.sclqld.org.au/qjudgment/2016/QCA16-336.pdf, archive.sclqld.org.au
18,"[2007]QCA 447,",https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf, archive.sclqld.org.au
18,(2006)67 NSWLR 659;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2010492318&pubNum=5138&originatingDoc=If5d2e0e0881c11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=9bdb043d1f6a44899eec4fa0ecc22822&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
18,"[2006]NSWCCA 334,",https://www.caselaw.nsw.gov.au/decision/549fd5973004262463bf2289, www.caselaw.nsw.gov.au
19,"[1993]QCA 419,",https://archive.sclqld.org.au/qjudgment/1993/QCA93-419.pdf, archive.sclqld.org.au
19,"[2007]QCA 447,",https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf, archive.sclqld.org.au
19,(2015)93 NSWLR 474;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2037887687&pubNum=5138&originatingDoc=Ie0144310882211e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=60e78deedd2642c7afff214d7044ac73&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
19,"[2015]NSWCCA 330,",https://www.caselaw.nsw.gov.au/decision/56737c8ee4b05f2c4f04a2e7, www.caselaw.nsw.gov.au
20,"[1992]QCA 223,",https://archive.sclqld.org.au/qjudgment/1992/QCA92-223.pdf, archive.sclqld.org.au
20,(2007)179 A Crim R 453;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2014539130&pubNum=5341&originatingDoc=I9f0edb2088b111e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=05662fc35e454afba26c7beab65ad12e&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
20,[2007]QCA 447:,https://archive.sclqld.org.au/qjudgment/2007/QCA07-447.pdf, archive.sclqld.org.au
20,[2016]QCA 336:,https://archive.sclqld.org.au/qjudgment/2016/QCA16-336.pdf, archive.sclqld.org.au
21,[2019]QCA 28:,https://archive.sclqld.org.au/qjudgment/2019/QCA19-028.pdf, archive.sclqld.org.au
22,[2007]QCA 373).,https://archive.sclqld.org.au/qjudgment/2007/QCA07-373.pdf, archive.sclqld.org.au
22,(2015)255 CLR 161;,https://anzlaw.thomsonreuters.com/Document/Id648a9f087ca11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
22,"[2015]HCA 27,",https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf, www.hcourt.gov.au
22,"(1999)199 CLR 99,134[103];",https://anzlaw.thomsonreuters.com/Document/I7764aac087b011e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&comp=wlau, anzlaw.thomsonreuters.com
22,"[1999]HCA 52,",https://www.hcourt.gov.au/sites/default/files/eresources/2025-10-30/HCA/Wu%20v%20The%20Queen%20%28S22-1999%29%20%5B1999%5D%20HCA%2052.pdf, www.hcourt.gov.au
23,(2008),https://anzlaw.thomsonreuters.com/Document/I2eb9b9c088b211e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
23,188 A Crim R 542;,https://anzlaw.thomsonreuters.com/Document/I2eb9b9c088b211e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
23,"[2013]QCA 29,",https://archive.sclqld.org.au/qjudgment/2013/QCA13-029.pdf, archive.sclqld.org.au
27,Section 51–Jury,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042, www.legislation.qld.gov.au
27,Section 69A–Inquiries,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1995-042, www.legislation.qld.gov.au
27,(2014)244 A Crim R 443;,https://anzlaw.thomsonreuters.com/Document/Ied1aebb088b611e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
27,"[2014]QCA 223,",https://archive.sclqld.org.au/qjudgment/2014/QCA14-223.pdf, archive.sclqld.org.au
28,[2010]QCA 194).,https://archive.sclqld.org.au/qjudgment/2010/QCA10-194.pdf, archive.sclqld.org.au
28,(2015)255 CLR 161;,https://anzlaw.thomsonreuters.com/Document/Id648a9f087ca11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
28,"[2015]HCA 27,",https://www.hcourt.gov.au/sites/default/files/eresources/2015/HCA/27.pdf, www.hcourt.gov.au
28,[2016]QCA 350,https://archive.sclqld.org.au/qjudgment/2016/QCA16-350.pdf, archive.sclqld.org.au
29,[2011]1 WLR 200;,https://www.iclr.co.uk/document/2011000367/casereport_44023/html, www.iclr.co.uk
29,[2010]EWCA Crim 1623).,https://www.bailii.org/ew/cases/EWCA/Crim/2010/1623.html, www.bailii.org
30,2.2.4 Appendix),rosetta://link/ch_judge_opening_remarks/appendix, link
30,"(1992) 59 A Crim R 322,",https://anzlaw.thomsonreuters.com/Document/I082af8b088a711e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
30,"(1992) 173 CLR 592,",https://anzlaw.thomsonreuters.com/Document/If368d01087ab11e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
35,Benchbook Chapter 2.1—‘your,rosetta://link/ch_trial_procedure/pamphlet, link
35,responsibilities as a Juror’—along,rosetta://link/ch_trial_procedure/pamphlet, link
39,"[2017]QCA 169,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-169.pdf, archive.sclqld.org.au
39,[2017],https://archive.sclqld.org.au/qjudgment/2017/QCA17-169.pdf, archive.sclqld.org.au
39,"QCA 169,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-169.pdf, archive.sclqld.org.au
39,"[2018]QCA 30,",https://archive.sclqld.org.au/qjudgment/2018/QCA18-030.pdf, archive.sclqld.org.au
39,(2007)232 CLR 208;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2014266713&pubNum=3586&originatingDoc=I7932aba087be11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=f7299d8fb5e946a3ba181eeffd8f0ebf&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
39,[2007]HCA 55);,https://www.hcourt.gov.au/sites/default/files/eresources/2007/HCA/55.pdf, www.hcourt.gov.au
40,"[2018]QSC 283,",https://archive.sclqld.org.au/qjudgment/2018/QSC18-283.pdf, archive.sclqld.org.au
40,"[2017]QCA 257,",https://archive.sclqld.org.au/qjudgment/2017/QCA17-257.pdf, archive.sclqld.org.au
44,Section 619–Speeches,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009, www.legislation.qld.gov.au
44,Rule 50,https://www.legislation.qld.gov.au/view/html/inforce/current/sl-1999-0112, www.legislation.qld.gov.au
44,Section 21R–Jury,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
44,(1981)147 CLR 512;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1981032165&pubNum=3586&originatingDoc=I2343e36087a711e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=2f3283fb148245178bc37870b7b2f28c&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
44,[1981]HCA 46).,https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/1981/46.html, www.austlii.edu.au
44,(1982)61 FLR 440;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1982166377&pubNum=5542&originatingDoc=I6900e433816b11e8b22785ae5ff38a3b&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=26e305126b834b7a94bfd53b4f8b33af&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
44,"(2010)20 Tas R 375,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2022910827&pubNum=5145&originatingDoc=I6c802e00890d11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=5a7be0b609b14bb683e84c70670c2fdc&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
44,"(2013)38 VR 659,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2029925404&pubNum=4888&originatingDoc=I64e8ec80892211e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=a7a410bb21d34d26bfddfc94a7b5f00c&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
44,[2004]QCA 219).,http://archive.sclqld.org.au/qjudgment/2004/QCA04-219.pdf, archive.sclqld.org.au
52,Section 613(3),https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009, www.legislation.qld.gov.au
52,Section 645–Accused,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1899-009, www.legislation.qld.gov.au
52,"(1994)181 CLR 230, 244;",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1994389514&pubNum=3586&originatingDoc=Ibb66eed087ac11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=653331b9b0734f5289fdcde3556dd1a2&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
52,(1994)181,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1994389514&pubNum=3586&originatingDoc=Ibb66eed087ac11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=653331b9b0734f5289fdcde3556dd1a2&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
52,CLR 230;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1994389514&pubNum=3586&originatingDoc=Ibb66eed087ac11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=653331b9b0734f5289fdcde3556dd1a2&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
52,"(2001)53 NSWLR 251,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2001896538&pubNum=5138&originatingDoc=Ie822a4d0881711e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=28eecf68ed11459aa4fe35defa8b42d9&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
52,"[1958]VR 45,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1958052096&pubNum=4888&originatingDoc=Ibbd07600b9f411e88a98823f404cad1c&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=86528a3fcd7f461b82451498018386ce&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
53,"[2002]QCA 464,",https://archive.sclqld.org.au/qjudgment/2002/QCA02-464.pdf, archive.sclqld.org.au
53,"(1980)147 CLR 1,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1980155654&pubNum=3586&originatingDoc=I992017609e4511e9bf2e892031bbe848&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=1c3f094a24894040963c92a673c6ba04&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
53,"(1980)147 CLR 1,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1980155654&pubNum=3586&originatingDoc=I992017609e4511e9bf2e892031bbe848&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=1c3f094a24894040963c92a673c6ba04&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
53,"[1960]1 QB 325,",https://www.iclr.co.uk/document/1950033169/casereport_22502/html, www.iclr.co.uk
53,[1968]1 WLR 1767;,https://www.iclr.co.uk/document/1961004032/casereport_77794/html, www.iclr.co.uk
53,[1990],https://anzlaw.thomsonreuters.com/Document/Ib8baa480896211e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
53,WAR 112;,https://anzlaw.thomsonreuters.com/Document/Ib8baa480896211e8aca5bab3c9b3f468/View/FullText.html?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0, anzlaw.thomsonreuters.com
53,(1991)1 NTLR 157).,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1991343146&pubNum=6060&originatingDoc=I8b07e4f088a211e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=20129be5727946ad8bc943b14b9ab7d2&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
53,[1960]1 QB 325,https://www.iclr.co.uk/document/1950033169/casereport_22502/html, www.iclr.co.uk
53,"[1958]VR 45,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=1958052096&pubNum=4888&originatingDoc=Ibbd07600b9f411e88a98823f404cad1c&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=9ddc9e2728b646619ffe5dc54f10c81d&contextData=(sc.DocLink)&comp=wlau, anzlaw.thomsonreuters.com
54,"[1960]1 QB 357,",https://www.iclr.co.uk/document/1950033178/casereport_77524/html, www.iclr.co.uk
56,Section 9–Presumption,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
56,Section 9A–Competency,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
56,Section 9B–Competency,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
56,Section 9C–Expert,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
56,Section 9E–Principles,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
56,(2003)141 A Crim R 471;,https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2003275246&pubNum=5341&originatingDoc=I9e37159088ad11e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=8c2c0057f3484eb295bd4e0eef132237&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
57,"[1977]1 WLR 234,",https://www.iclr.co.uk/document/1971004381/casereport_1700/html, www.iclr.co.uk
57,[2012]QCA 343).,http://archive.sclqld.org.au/qjudgment/2012/QCA12-343.pdf, archive.sclqld.org.au
58,[2012]QCA 343).,http://archive.sclqld.org.au/qjudgment/2012/QCA12-343.pdf, archive.sclqld.org.au
58,[2015]QCA 123).,http://archive.sclqld.org.au/qjudgment/2015/QCA15-123.pdf, archive.sclqld.org.au
59,Section 21A–Evidence,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
59,Section 21AAA–Exclusion,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
59,Section 20B–Definitions,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
59,Schedule 3–Dictionary,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
61,"(2013)234 A Crim R 309,",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2031464607&pubNum=5341&originatingDoc=Ie0876d7088b511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=b0c51b77719a4231bdff6d93ffc8ebd5&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
61,"[2013]QCA 238,",http://archive.sclqld.org.au/qjudgment/2013/QCA13-238.pdf, archive.sclqld.org.au
61,"(2013)231 A Crim R 145,[24];",https://anzlaw.thomsonreuters.com/Link/Document/FullText?findType=Y&serNum=2031455031&pubNum=5341&originatingDoc=Id82f0b6088b511e8aca5bab3c9b3f468&refType=TG&originationContext=document&transitionType=DocumentItem&ppcid=dcb47ae45f2743fe84c657845fa88b77&contextData=(sc.Default)&comp=wlau, anzlaw.thomsonreuters.com
61,[2013],http://archive.sclqld.org.au/qjudgment/2013/QCA13-223.pdf, archive.sclqld.org.au
61,"QCA 223,[24]).",http://archive.sclqld.org.au/qjudgment/2013/QCA13-223.pdf, archive.sclqld.org.au
64,Section 21M,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
64,Section 21N–No,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
64,Section 21O–,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
64,Section 21R–,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
67,Section 103ZE,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
69,Division 4A–Evidence,https://www.legislation.qld.gov.au/view/html/inforce/current/act-1977-047, www.legislation.qld.gov.au
70,[2006]QCA,http://archive.sclqld.org.au/qjudgment/2006/QCA06-378.pdf, archive.sclqld.org.au
70,378;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-378.pdf, archive.sclqld.org.au
70,[2006]QCA 79;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-079.pdf, archive.sclqld.org.au
70,[2006]QCA 80;,http://archive.sclqld.org.au/qjudgment/2006/QCA06-080.pdf, archive.sclqld.org.au
