link_id,page_no,link_text,surrounding_text,link_destination,link_domain,jade_link
1167,161,[2009]NSWCCA,"evidence is given(Sanchez v R(2009)196 A Crim R 472, 486; [2009]NSWCCA 171, [57]). The direction may also bear repeating in the",http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/nsw/NSWCCA/2009/171.html,austlii,
1350,187,[1998]CanLII 789,"the Canadian case of R v White [1998]2 SCR 72; [1998]CanLII 789 as follows: ‘It has been recognised, however, that when evidence",https://www.canlii.org/en/ca/scc/doc/1998/1998canlii789/1998canlii789.html,canlii,
1496,201,[1993]4,precisely the lies upon which the prosecution relies(R v Richens [1993]4 All ER 877 at [886]); Osland v The Queen (1998)197,https://plus.lexis.com/apac/document/onecase/?pdmfid=1539278&crid=dc6548a2-0362-4eac-b8e8-38124bd4b3d5&pddocfullpath=%2Fshared%2Fdocument%2Fcases-uk%2Furn:contentItem:4CSP-4J70-TWP1-61PN-00000-00&pdcontentcomponentid=274668&pdteaserkey=cr18&ecomp=485k&earg=cr18&prid=9a012630-2e18-4e3c-bdbe-56da7bee4cd5,lexis,
1751,238,Judicial Officers Bulletin No 23,possible contamination. For a discussion on DNA evidence see the Judicial Officers Bulletin No 23 published by the Judicial Commission of NSW August 2011. 4.26.3,https://search.informit.org/toc/job/23/7,informit,
1776,243,[1979]VicSC 619;,"admission might operate unfairly against an defendant (R v Gouroff [1979]VicSC 619; (1979)1 A Crim R 367, 371-372; R v Masters (1992)",https://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VicSC/1979/619.html?context=1;query=Gouroff;mask_path=au/cases/vic/VSC+au/cases/vic/VicSC+au/cases/vic/VSCA+au/cases/vic/VicCorC+au/cases/vic/VCC+au/cases/vic/VMC+au/cases/vic/VicRp+au/cases/vic/VicLawRp+au/cases/vic/VicLawTLegO+au/cases/vic/VicWABWRp+au/cases/vic/VicWWABRp+au/cases/vic/VicWWRp+au/cases/vic/VicAATRp+au/cases/vic/VBAB+au/cases/vic/VDPB+au/cases/vic/VHerCl+au/cases/vic/VMPB+au/cases/vic/VMPBPSP+au/cases/vic/VPrivCmr+au/cases/vic/VPYRB+au/cases/vic/VicPABRp+au/cases/vic/PPV+au/cases/vic/VPSRB+au/cases/vic/VCAT+au/cases/vic/VICCAT+au/cases/vic/VADT+au/cases/vic/VCGLR+au/cases/vic/VDBT+au/cases/vic/VICmr+au/cases/vic/VLSC+au/cases/vic/VLPT+au/cases/vic/VMHRB+au/cases/vic/VMHT+au/cases/vic/VicPRp+au/cases/vic/VRAT+au/legis/vic/consol_act+au/legis/vic/num_act+au/legis/vic/hist_act+au/legis/vic/reprint_act+au/legis/vic/anglican+au/legis/vic/repealed_act+au/legis/vic/consol_reg+au/legis/vic/consol_reg+au/legis/vic/num_reg+au/legis/vic/reprint_reg+au/legis/vic/repealed_reg+au/legis/vic/bill+au/legis/vic/bill_em+au/other/VicBillsRR+au/other/vic_gazette+au/other/VicOmbPRp+au/other/VicSARCAD+au/other/rulings/vicsro/VICSROBF+au/other/rulings/vicsro/VICSRODT+au/other/rulings/vicsro/VICSRODA+au/other/rulings/vicsro/VICSROFHOG+au/other/rulings/vicsro/VICSROFID+au/other/rulings/vicsro/VICSROGEN+au/other/rulings/vicsro/VICSROLT+au/other/rulings/vicsro/VICSROLTA+au/other/rulings/vicsro/VICSROPT+au/other/rulings/vicsro/VICSROPTA+au/other/rulings/vicsro/VICSROSD+au/other/rulings/vicsro/VICSROTAA,austlii,
1967,269,[2017]NSWCCA 12,"165B(7). In TO v R (2017)265 A Crim R 214; [2017]NSWCCA 12 the New South Wales Court of Criminal Appeal(Price J, with",https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=147082ab-2b23-49f1-9af4-de849d6285aa&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A5MXP-1H71-FJDY-X1SP-00000-00&pdcontentcomponentid=267706&pdteaserkey=cr2&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=cr2&prid=336b910a-2fb9-42a0-8e75-fcd6380091ac,sclqld,
1969,269,2) [2020] NSWCCA 354.,at [167]. See also Cabot (a pseudonym) v R (No 2) [2020] NSWCCA 354. Price J said: The following is a summary of the,https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/onecase/?pdmfid=1201008&crid=aa1130db-3cb7-47e9-b849-090908a82a3d&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A61JY-V8T1-K0HK-22K8-00000-00&pdcontentcomponentid=267706&pdteaserkey=cr1&pdicsfeatureid=1517127&pditab=allpods&ecomp=hwtpk&earg=cr1&prid=33c2ae89-0482-4cab-a84e-7d304e933fe9,sclqld,
1970,269,[2013] NSWCCA 237,disadvantage must form part of the application: Groundstroem v R [2013] NSWCCA 237 (“Groundstroem”)at [56]. 2. Subsection(5)prohibits the judge from directing the jury,https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=1164d926-6293-4843-b66d-e968edc7c453&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn%3AcontentItem%3A59TD-NJD1-F2TK-207D-00000-00&pdcontentcomponentid=267706&pddoctitle=%5B2013%5D+NSWCCA+237&pdproductcontenttypeid=urn%3Apct%3A170&pdiskwicview=false&ecomp=g2z2k&prid=d94956b2-cfb0-4540-b780-f2356e032685,sclqld,
2260,300,(1971)26 LGRA 237;,"(2003)139 A Crim R 417, [2001]QCA 105; R v Lopuszynski (1971)26 LGRA 237; R v Buckett (1995)132 ALR 669 at [676]; R v",http://0-www.westlaw.com.au.catalogue.sclqld.org.au/maf/wlau/app/blob?blobguid=I2d41c7f0cc8411e08eefa443f89988a0&file=(1971)_26_LGRA_237.pdf,sclqld,
2286,301,(1971)55 Cr App R 445;,"at [685]. See also R v Clarkson, Carroll, and Dodd (1971)55 Cr App R 445; R v Beck [1990]1 Qd R 30. Section 8: Common",https://www.westlaw.com/Browse/Home/InternationalMaterials/UnitedKingdom/UnitedKingdomCases/UnitedKingdomCasesCriminalAppealReports?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&sp=au-wln-sclqld,westlaw,
2377,318,[1955],changing the engine number on a stolen vehicle(R v Tevendale [1955] VLR 95); concealing evidence(R v Levy [1912]1 KB 158; R,http://www7.austlii.edu.au/au/cases/vic/VicLawRp/1955/18.pdf,austlii,
2691,366,(2007)171 A Crim,107; R v TY (2006)12 VR 557; R v Barrett (2007)171 A Crim R 315). The jury ought to be directed that a,http://www6.austlii.edu.au/cgi-bin/viewdoc/au/cases/vic/VSCA/2007/95.html?query=,austlii,
3020,461,[1981]2 All ER 833;,fact and degree whether the thing is noxious(R v Marcus [1981]2 All ER 833; (1981)73 Cr App R 49). 10.15.3 Suggested Direction [Last reviewed:,https://plus.lexis.com/apac/document/onecase/?pdmfid=1539278&crid=87003b32-5bb4-4a06-aa53-25343c92c7cd&pddocfullpath=%2Fshared%2Fdocument%2Fcases-uk%2Furn:contentItem:4CSP-3KT0-TWP1-6076-00000-00&pdcontentcomponentid=274668&pdteaserkey=cr1&ecomp=g75k&earg=cr1&prid=76423a24-b384-4abc-ae62-ef0b18b0f17e,lexis,
3021,461,(1981)73 Cr,the thing is noxious(R v Marcus [1981]2 All ER 833; (1981)73 Cr App R 49). 10.15.3 Suggested Direction [Last reviewed: April 2025],https://a.next.westlaw.com/Document/I56CA3C50E42811DA8FC2A0F0355337E9/View/FullText.html?navigationPath=Search%2Fv3%2Fsearch%2Fresults%2Fnavigation%2Fi0ad604020000015359c553404263ce2a%3FNav%3DINTERNATIONAL-CASES%26fragmentIdentifier%3DI56CA3C50E42811DA8FC2A0F0355337E9%26startIndex%3D1%26contextData%3D%2528sc.Search%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=39a99cb5c35e44667952483728a608f2&list=INTERNATIONAL-CASES&rank=1&grading=na&sessionScopeId=ed11f484f99f0961f5b4396d7d076c69&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Search%29,westlaw,
3056,471,[1999]NSWCCA 14.,"v Brougham (1986)43 SASR 187,191 (King CJ); R v Leoni [1999]NSWCCA 14. For offences including assault as an element: (a) It is",https://www.caselaw.nsw.gov.au/decision/549f99cb3004262463b0ffc8,nsw,
3066,474,[1997]Library 970147.,"(1997) 91 A Crim R 590, 599; Gummow v R [1997]Library 970147. 11.1.3 Suggested Directions [Last reviewed: October 2024] ‘Under care’: The",https://ecourts.justice.wa.gov.au/eCourtsPortal/Decisions/DownloadDecision/6d6ebe6e-0dac-f1ed-4825-648700767430?unredactedVersion=False,wa,
3197,499,Oxford English,‘involve’ in the specimen direction has been taken from the Oxford English Dictionary Online. See s 228E for defences available to a,https://www.oed.com/search/dictionary/?scope=Entries&q=involve,oed,
3348,558,322;,been drawn from R v FAK (2016)263 A Crim R 322; [2016]QCA 306 esp at [71]-[78]. The sample direction concerning guardianship,https://plus.lexis.com/apac/search/?pdmfid=1539278&crid=2b8b07cd-9701-4fb4-96f5-56a21883533e&pdsearchterms=r%20v%20fak%20—%20(2016)%20263%20a%20crim%20r%20322;%20%5B2016%5D%20qca%20306;%20bc201609988&pdtypeofsearch=searchboxclick&pdsearchtype=SearchBox&pdstartin=hlct:1:0&pdpsf=&pdqttype=and&pdquerytemplateid=&ecomp=c5cck&earg=pdsf&prid=b237bd10-73d3-4638-8709-cecbd8ce4ccb,lexis,
3774,670,[2009]QDC 61(McGill,applicable to the interpretation of s 363(2): (R v Campbell [2009]QDC 61(McGill DCJ)). 12.2.3 Suggested Direction [Last reviewed: April 2025] A. Offence,http://archive.sclqld.org.au/qjudgment/2009/QDC09-061.pdf,sclqld,
3850,693,173 ER 733,each citing R v Parker (1839)9 Car & P 45; 173 ER 733 and R v Russell (1842)Car & M 541; 174 ER,https://uk.westlaw.com/Document/IE7923270BB5311DCB80092A59D721F81/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0a89c86c00000196a7d0e282c19a1db9%3Fppcid%3Da731d937cedc438e961f6eac02bd9b93%26Nav%3DUK-CASES-PUBLICATION%26fragmentIdentifier%3DIE7923270BB5311DCB80092A59D721F81%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Default%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=a9e64b2bdf7769c758abb662c22c6fe2&list=UK-CASES-PUBLICATION&rank=5&sessionScopeId=ef5bec4d49be7d853d541bc4370be6aea6c6523a2de2f2e6945d0dfb4e629e7f&ppcid=a731d937cedc438e961f6eac02bd9b93&originationContext=Search%20Result&transitionType=SearchItem&contextData=(sc.Default)&navId=0A280184608885EA5AE7F1E3B525A428&comp=wluk,westlaw,
3852,693,174 ER,ER 733 and R v Russell (1842)Car & M 541; 174 ER 626). Queensland Supreme and District Courts Criminal Directions Benchbook (2026,https://uk.westlaw.com/Document/IE80B0BF0BB5311DCB80092A59D721F81/View/FullText.html?navigationPath=Search%2Fv1%2Fresults%2Fnavigation%2Fi0a89c86c00000196a7d1f1b4c19a28d8%3Fppcid%3Dabd5716fa3ba48099be6a2fc371b2b5d%26Nav%3DUK-CASES-PUBLICATION%26fragmentIdentifier%3DIE80B0BF0BB5311DCB80092A59D721F81%26parentRank%3D0%26startIndex%3D1%26contextData%3D%2528sc.Default%2529%26transitionType%3DSearchItem&listSource=Search&listPageSource=76aef98634104aff4e7427830bdf244d&list=UK-CASES-PUBLICATION&rank=4&sessionScopeId=ef5bec4d49be7d853d541bc4370be6aea6c6523a2de2f2e6945d0dfb4e629e7f&ppcid=abd5716fa3ba48099be6a2fc371b2b5d&originationContext=Search%20Result&transitionType=SearchItem&contextData=(sc.Default)&comp=wluk&navId=01279A382D49E43D7A18CD89449720EF,westlaw,
3934,715,[1962]2 QB 429).,"ordinarily be used for a lawful purpose(see R v Patterson [1962]2 QB 429). To possess an instrument of housebreaking, the defendant must have",https://plus.lexis.com/apac/document/?pdmfid=1539278&crid=f3935eae-5a17-4dce-b82e-09c09817809b&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:58RJ-NKH1-F4GK-M1F1-00000-00&pdcontentcomponentid=267716&pdteaserkey=&pdislpamode=false&pdworkfolderlocatorid=NOT_SAVED_IN_WORKFOLDER&ecomp=J85k&earg=sr3&prid=191326e6-c490-4214-bb52-e8ad446fff5d,lexis,
3935,715,"[1982]AC 768,[773–774](Lord","is under his or her custody or control(R v Boyesen [1982]AC 768,[773–774](Lord Scarman)). In R v Brauer [1990]1 Qd R 332, [360],",https://iclr-co-uk.ezproxy-az.sclqld.org.au/pubrefLookup/redirectTo?ref=1982+AC+768,sclqld,
3940,716,228).,of housebreaking is possession of both people(R v Martin [1965]NZLR 228). 13.8.3 Suggested Direction [Last reviewed: March 2025] The prosecution must,https://advance-lexis-com.ezproxy-az.sclqld.org.au/document/documentlink/?pdmfid=1201008&crid=6dcbd15a-dfa9-454b-89dc-15a90c80abdf&pddocfullpath=%2Fshared%2Fdocument%2Fanalytical-materials-au%2Furn%3AcontentItem%3A58Y3-T851-JXNB-635M-00000-00&pdpinpoint=CLQ.CC.CRIMCQ.S425&pdcontentcomponentid=600556&pddoctitle=%5Bs+425%5D&pdproductcontenttypeid=urn%3Apct%3A166&pdiskwicview=false&ecomp=k2z2k&prid=84260452-dc68-47b1-be74-90756564a8be,sclqld,
3948,720,[1961]AC 103;,person to defraud any particular person. See Welham v DPP [1961]AC 103; [1960]1 All ER 805 on the meaning of ‘intent to,https://www.westlaw.com/Browse/Home/InternationalMaterials/UnitedKingdom/UnitedKingdomCases/UnitedKingdomCasesLawReports?transitionType=Default&contextData=(sc.Default)&VR=3.0&RS=cblt1.0&sp=au-wln-sclqld,westlaw,
3949,720,[1960]1 All ER 805,defraud any particular person. See Welham v DPP [1961]AC 103; [1960]1 All ER 805 on the meaning of ‘intent to defraud’. An intent to,https://plus.lexis.com/apac/document/documentlink/?pdmfid=1539278&crid=c4e5b282-0cfe-4b7b-8fd8-9a5a4a0a85b8&pddocfullpath=%2Fshared%2Fdocument%2Fcases-uk%2Furn:contentItem:4CRN-PP50-TWP1-603F-00000-00&pdcontentcomponentid=274668&pdproductcontenttypeid=urn:pct:285&pdiskwicview=false&pdpinpoint=&prid=af3378b0-732a-419e-9b1f-79c7be410bc8&ecomp=cgmdk,lexis,
3967,725,[1966]2 QB 214).,R 527; Hollingsworth v Bean [1970]VR 819; R v Wibberley [1966]2 QB 214). Knowledge of the absence of consent of the person in,https://www-iclr-co-uk.ezproxy-az.sclqld.org.au/document/1961004150/casereport_88904/html,sclqld,
4100,748,[1985]QB 519;,is for the judge to decide that issue(R v Millward [1985]QB 519; (1985)80 Cr App R 280; R v Traino (1987)27 A,https://1.next.westlaw.com/Link/Document/Blob/I23082FB0122211DDB3CBE2AC6B57B4D3.pdf?targetType=inline&originationContext=document&transitionType=DocumentImage&uniqueId=b4596cad-da81-4a1a-aa45-fb626256f467&contextData=(sc.DocLink),westlaw,
4101,748,(1985)80 Cr App R 280;,the judge to decide that issue(R v Millward [1985]QB 519; (1985)80 Cr App R 280; R v Traino (1987)27 A Crim R 271). But see,https://1.next.westlaw.com/Link/Document/FullText?findType=g&serNum=1985031168&pubNum=4705&originatingDoc=I5A4A1440E42811DA8FC2A0F0355337E9&refType=UD&originationContext=document&transitionType=DocumentItem&contextData=(sc.UserEnteredCitation),westlaw,
4111,750,[1957]1 QB 552.,actually put in fear: R v Sharp; R v Johnson [1957]1 QB 552. Queensland Supreme and District Courts Criminal Directions Benchbook (2026 Edition),https://1.next.westlaw.com/Link/Document/Blob/ICB9C3B50122011DDB3CBE2AC6B57B4D3.pdf?targetType=inline&originationContext=document&transitionType=DocumentImage&uniqueId=28af1949-a29f-4a07-a8cd-8e2821c71071&contextData=(sc.DocLink),westlaw,
4117,754,Carter’s Criminal Law.,on the offences in s 87(1)(a)and(b)can be found in the Carter’s Criminal Law. Meaning of ‘employed in the public service’ and ‘holder of,https://plus.lexis.com/apac/document/?pdmfid=1539278&pddocfullpath=%2Fshared%2Fdocument%2Fanalytical-materials-au%2Furn:contentItem:58Y3-T851-JXNB-62S0-00000-00&pdtocnodeidentifier=AAFAADAADAACAAB&pdscrollreferenceid=null&pdisdocsliderrequired=true&crid=4544db43-def9-4fef-808c-f649c89f224c,lexis,
4132,756,[1985]1 All ER 859;,v The Queen(1999)WA CCA 183 of 1997; R v Millward [1985]1 All ER 859; R v Balan (2006)QCA 463; R v Deemal (2009)QCA 131;,https://advance-lexis-com.ezproxy-az.sclqld.org.au/api/permalink/05fdd5b0-89e1-4e61-aadc-f024fa4b0fa3/?context=1201008&identityprofileid=98NNDT55483,sclqld,
4464,809,"[1999]1 SCR 330,","from the reasons of L’Heureux-Dube J in R v Ewanchuk [1999]1 SCR 330, 376-377 [97]. R v Ewanchuck was also cited with approval",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/1684/1/document.do,ca,
4570,815,"Ewanchuk [1999]1 SCR 330,","quote from the reasons of L’Heureux-Dube J in R v Ewanchuk [1999]1 SCR 330, 376-377 [97]. R v Ewanchuck was also cited with approval",https://decisions.scc-csc.ca/scc-csc/scc-csc/en/item/1684/index.do,ca,
4689,850,[2018]QDCPR 56).,offence of which an assault is an element(R v TM [2018]QDCPR 56). This conclusion is contrary to the Queensland Supreme and District,https://archive.sclqld.org.au/qjudgment/2018/QDCPR18-056.pdf,sclqld,
4869,907,The Commonwealth Criminal Code: Guide for,Code. Further commentary may be found in Part 2.2 of The Commonwealth Criminal Code: Guide for Practitioners. Queensland Supreme and District Courts Criminal Directions Benchbook (2026,https://www.ag.gov.au/crime/publications/commonwealth-criminal-code-guide-practitioners-draft/part-22-elements-offence,ag,
4966,929,(2012)165 NTR 1;,"s 228A of the Migration Act, see R v Ahmad (2012)165 NTR 1; [2012]NTCCA 1, R v Zainudin (2012)115 SASR 165; [2012]SASCFC 133.",https://plus.lexis.com/apac/document/?pdmfid=1539278&crid=b159a2e8-4912-45c8-a3b0-0ff1fc9a3e3a&pddocfullpath=%2Fshared%2Fdocument%2Fcases-au%2Furn:contentItem:58RJ-NDN1-JN6B-S1V3-00000-00&pdcontentcomponentid=267716&pdteaserkey=&pdislpamode=false&pdworkfolderlocatorid=NOT_SAVED_IN_WORKFOLDER&ecomp=485k&earg=sr0&prid=69b17c5e-93e0-443c-9c2b-25e6ff213453,lexis,
5022,948,facts[31]. summing-up,"an explanation as to how the law applies to those facts[31]. As McMurdo P said in Mogg[32], ordinarily the duty imposed on",http://www.austlii.edu.au/cgi-bin/viewdoc/au/cases/cth/HCA/2005/34.html?context=1;query=fingleton%20;mask_path=au/cases/cth/HCA,austlii,
